url,status,http_code,final_url,note,roles,cases
https://aws.amazon.com/blogs/machine-learning/industrial-automation-at-tyson-with-computer-vision-aws-panorama-and-amazon-sagemaker/,redirect,200,https://aws.amazon.com/ru/blogs/machine-learning/industrial-automation-at-tyson-with-computer-vision-aws-panorama-and-amazon-sagemaker/,,"primary;metric",us-ag-tyson-cv-01
https://aws.amazon.com/solutions/case-studies/biggo/,redirect,200,https://aws.amazon.com/ru/solutions/case-studies/biggo/,,"primary;metric",tw-rt-biggo-genai-content-01
https://aws.amazon.com/solutions/case-studies/bmw-vsas-case-study/,redirect,200,https://aws.amazon.com/ru/solutions/case-studies/bmw-vsas-case-study/,,"primary;metric",de-mf-bmw-vsas-cv-01
https://aws.amazon.com/solutions/case-studies/encored-technologies-case-study/,redirect,200,https://aws.amazon.com/ru/solutions/case-studies/encored-technologies-case-study/,,"primary;metric",kr-en-encored-aws-vpp-01
https://aws.amazon.com/solutions/case-studies/govtech/,redirect,200,https://aws.amazon.com/ru/solutions/case-studies/govtech/,,"primary;metric",sg-pb-govtech-maestro-mom-01
https://aws.amazon.com/solutions/case-studies/tapestry-generative-ai-case-study/,redirect,200,https://aws.amazon.com/ru/solutions/case-studies/tapestry-generative-ai-case-study/,,"primary;metric",us-rt-tapestry-tellrexy-01
https://bit-tech.io/blog/ntechlab-rossiyskiy-ii-servis-bit-zashchitil-magaziny-ot-krazh-na-2-mlrd-rubley/,redirect,200,https://bit-tech.io/news/ntechlab-rossiyskiy-ii-servis-bit-zashchitil-magaziny-ot-krazh-na-2-mlrd-rubley/,,"primary;metric",ru-rt-bit-ntechlab-antitheft-01
https://buildots.com/case-study/mace-partners-with-buildots/,redirect,200,https://buildots.com/case-studies/mace-partners-with-buildots/,,"primary;metric",gb-cn-mace-buildots-cv-01
https://c3.ai/customers/shell/,redirect,200,https://c3.ai/customers/shell,,"primary;metric",uk-mn-shell-c3ai-maintenance-01
https://habr.com/ru/amp/publications/1046391,redirect,200,https://habr.com/ru/amp/publications/1046391/,,primary,ru-tl-kinopoisk-recommender-01
https://habr.com/ru/amp/publications/904162,redirect,200,https://habr.com/ru/amp/publications/904162/,,"primary;metric",ru-tl-rutube-moderation-01
https://lipetsk.nlmk.com,redirect,200,https://lipetsk.nlmk.com/ru/,,client,ru-mf-nlmk-ferroalloy-advisor-01
https://pages.buildots.com/intel-case-study,redirect,200,https://buildots.com/case-studies/intel-partners-with-buildots/,,source,us-cn-intel-buildots-cv-01
https://robotmia.ru/blog/detail/sm_clinic,redirect,302,https://robotmia.ru/blog/detail/sm_clinic,"редирект на себя (cookie-стена), в браузере открывается","primary;metric",ru-hc-mia-smclinic-voice-01
https://robotmia.ru/perviy-golosovoy-robot-v-medicine-dlya-sm-clinica,redirect,302,https://robotmia.ru/perviy-golosovoy-robot-v-medicine-dlya-sm-clinica,"редирект на себя (cookie-стена), в браузере открывается",source,ru-hc-mia-smclinic-voice-01
https://www.lanit.ru/press/archive/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroiteley-gk-pik-na-20/,redirect,200,https://lanit.ru/press/archive/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroiteley-gk-pik-na-20,,source,ru-cn-pik-solut-labor-01
https://www.oklahomafarmreport.com/okfr/2025/11/04/john-deere-customers-use-see-spray-technology-across-five-million-acres-in-2025/,redirect,200,https://www.oklahomafarmreport.com/2025/11/04/john-deere-customers-use-see-spray-technology-across-five-million-acres-in-2025/,,"primary;metric",us-ag-deere-seeandspray-01
https://www.siemens.com,redirect,200,https://www.siemens.com/en-gb/,,client,de-mf-siemens-amberg-ai-01
